,Название объекта,Рынок,Технологии,Сервисы,type,Сайт
34,"Автономная некоммерческая организация ""Аналитика и высокие технологии""",IndustrialTech|Healthcare,Биотехнологии|Робототехника,Обучение (образовательные программы)|Проведение исследований / испытаний |Проектирование|Прототипирование,0,http://www.awtec.ru
35,СЕМАТ,IndustrialTech,Новые и портативные источники энергии|Новые материалы,Проектирование|Прототипирование,0,http://semat.ru/about/
36,Троицкий инженерный центр,IndustrialTech,Big Data|Интернет вещей,Проведение исследований / испытаний |Проектирование|Прототипирование,0,http://trdc.com/
37,Трайфит технологии,SportTech,3D моделирование,Проектирование|Прототипирование,0,http://www.try.fit/
38,Смирнов дизайн,IndustrialTech,3D моделирование,Маркетинг и продвижение |Проектирование|Прототипирование,0,https://smirnovdesign.com/
39,Норгау Лабс,IndustrialTech,,Проведение исследований / испытаний ,0,https://norgau.com/
40,Инновационный технологический центр МАТИ,IndustrialTech,Новые и портативные источники энергии|Новые материалы,Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Проектирование|Прототипирование,0,http://itcmati.ru/
41,ДизайнВоркс,IndustrialTech,,Проектирование|Прототипирование,0,https://designworks.ru/
42,Аврора Машзавод,IndustrialTech,,Проведение исследований / испытаний |Проектирование|Прототипирование,0,http://a-mz.ru/
43,Модуль 42,Healthcare,,Проектирование|Прототипирование|Мелкосерийное производство,0,https://m42.tech/
44,"Инкубатор ""Три""",Healthcare,AR/VR|Аддитивные технологии|Биотехнологии|Робототехника,Проектирование|Прототипирование,0,https://3inc.ru/
45,Хамстер Роботикс Инжиниринг,IndustrialTech,3D моделирование|Робототехника,Проектирование|Прототипирование,0,http://hamsterrobotics.tech/
46,Поларус,IndustrialTech,,Проектирование|Прототипирование,0,http://polaruslaser.ru/ru
47,"Лаборатория интеллектуальных технологий ""ЛИНТЕХ""",IndustrialTech,Интернет вещей|Робототехника,Проектирование|Прототипирование,0,https://schoolskills.ru/ru/lintech/
48,Энергоэлемент,IndustrialTech,Новые и портативные источники энергии|Новые материалы,Проведение исследований / испытаний |Проектирование|Прототипирование,0,https://www.energo-e.ru/
49,Инжиниринговый центр инновационных материалов и технологий легкой промышленности РГУ им. А.Н. Косыгина,IndustrialTech,3D моделирование,Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,1,http://www.eclegprom.ru/
50,Инжинити,IndustrialTech,Новые материалы,Консультационная поддержка по развитию бизнеса|Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0,https://www.facebook.com/inginiti/
51,Man & Technologies Lab,IndustrialTech,Аддитивные технологии|Новые материалы|Робототехника,Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0,http://mntlab.com
52,Инновакс,IndustrialTech,3D моделирование|Аддитивные технологии,Доступ к оборудованию/ лаборатории / облачным сервисам|Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0,https://innovax.info/
53,Солитэк,IndustrialTech,3D моделирование|Аддитивные технологии|Новые материалы,Консультационная поддержка по развитию бизнеса|Проектирование|Прототипирование,0,http://solitec.ru
54,"Особое конструкторское бюро ""Норд""",IndustrialTech,3D моделирование|Аддитивные технологии,Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Проведение исследований / испытаний |Проектирование|Прототипирование,0,https://www.okbnord.com/
55,"Инжиниринговый центр ""Кинетика""",IndustrialTech,,Проектирование|Прототипирование,1,http://kinetica.center/
56,Карфидов Лаб,IndustrialTech,3D моделирование|Аддитивные технологии,Проведение исследований / испытаний |Проектирование|Прототипирование,0,https://karfidovlab.com/
57,Objectlab,IndustrialTech,,Проектирование,0,https://objectlab.ru/
58,Центр прототипирования,Healthcare,3D моделирование|Аддитивные технологии,Проектирование|Прототипирование,0,https://cisis-fmt.ru/
59,"Центр сертификации, стандартизации и испытаний технологий, материалов, рабочих сред, продукции энергетики и энергомашиностроения (ЦСCИ на базе Технопарка ВТИ)",IndustrialTech,Новые материалы,Проведение исследований / испытаний ,0,https://cisis-fmt.ru/
60,"Центр сертификации, стандартизации и испытаний аддитивных технологий (Центр лазерного синтеза)",IndustrialTech,Новые материалы,Проведение исследований / испытаний |Проектирование,0,https://cisis-fmt.ru/
61,Центр сертификации и испытаний функциональных материалов и технологий,IndustrialTech,Новые материалы,Проведение исследований / испытаний ,0,https://cisis-fmt.ru/
62,"Центр прототипирования ""Зеленоград""",IndustrialTech,3D моделирование|Аддитивные технологии,Проектирование|Прототипирование,1,http://skat3d.ru
63,Региональный центр инжиниринга Москвы,IndustrialTech,3D моделирование|Аддитивные технологии,Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам |Доступ к потенциальным заказчикам|Проведение исследований / испытаний |Проектирование|Прототипирование,1,http://innoagency.ru/ru/application/support/rci
64,3DPARKS,IndustrialTech,3D моделирование,Проектирование|Прототипирование|Мелкосерийное производство,1,http://3dparks.ru/
65,Т-Сервисы,IndustrialTech,3D моделирование|Big Data,Тестирование продукта |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам|Проектирование,0,http://www.t-services.ru/
66,"Инжиниринговый центр ""Композиты России"" МГТУ им. Н. Э. Баумана",IndustrialTech,Нанотехнологии|Новые материалы,Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,1,http://www.emtc.ru/
67,"Инжиниринговый центр НИЯУ ""МИФИ""",IndustrialTech,,Проведение исследований / испытаний |Проектирование|Мелкосерийное производство,1,https://yes.mephi.ru/
68,Институт инновационного проектирования и инжиниринга,IndustrialTech|Healthcare,Биотехнологии|Нанотехнологии,Проектирование,0,http://inpren.ru
69,Инжиниринговый научно-образовательный центр Smart,Transport & Logistics|IndustrialTech,3D моделирование,Проведение исследований / испытаний |Проектирование|Прототипирование,0,http://ecsmart.ru/
70,Дана Инжиниринг,IndustrialTech,,Проектирование|Прототипирование|Мелкосерийное производство,0,http://danaeng.ru
71,Датадванс,Business Software,Big Data,Проведение исследований / испытаний |Проектирование|Прототипирование,0,https://www.datadvance.net
72,INVEND,Business Software,,Проектирование|Прототипирование|Мелкосерийное производство,0,https://invend.ru/
73,Реиннольц Лаб,IndustrialTech,,Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0,http://reinnolc.com/
74,"Инжиниринговый центр ""Русэлпром""",IndustrialTech,,Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0,https://navigator.sk.ru/orn/1121169
75,ИК Велес,IndustrialTech,,Проектирование|Прототипирование|Мелкосерийное производство,0,https://navigator.sk.ru/orn/1121615
76,Терратек,IndustrialTech,,Проведение исследований / испытаний ,0,https://navigator.sk.ru/orn/1121916
77,Сейвэколоджи,CleanTech,Зеленые технологии,Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0, https://navigator.sk.ru/orn/1122835
78,Девелопмент Бюро,Business Software,Big Data,,0,http://db.softline.ru/
79,ИК Генезис,PropTech,Новые материалы,Проведение исследований / испытаний |Прототипирование|Мелкосерийное производство,0,https://genesistp.ru/
80,ИК Шинпромресурс,CleanTech,Зеленые технологии,Проведение исследований / испытаний ,0, https://navigator.sk.ru/orn/1122484
81,"Инжиниринговый центр ""Нефтегазовое машиностроение"" РГУ нефти и газа (НИУ) им. И.М. Губкина ",IndustrialTech|CleanTech,Зеленые технологии,Защита интеллектуальной собственности |Консультационная поддержка по развитию бизнеса|Проектирование,1,https://www.gubkin.ru/general/structure/scientific_activity/projects_and_innovations/inzhiniringovyy-tsentr/index.php
82,"Инжиниринговый центр ""Автоматика и робототехника"" МГТУ им. Н.Э.Баумана",IndustrialTech|Healthcare,Биометрия|Искусственный интеллект и машинное обучение|Робототехника,Обучение (образовательные программы)|Проведение исследований / испытаний |Проектирование|Прототипирование|Мелкосерийное производство,0,https://secra.ru
83,Центр межотраслевых инновационных проектов ГУУ,IndustrialTech,,Проектирование,0,https://guu.ru/ic/
84,Зарио,IndustrialTech,,Консультационная поддержка по развитию бизнеса|Прототипирование|Мелкосерийное производство,0,https://zario.ru/
85,"Инжиниринговый центр ""ExpLabs""",IndustrialTech,3D моделирование|Робототехника,Обучение (образовательные программы)|Проектирование,1,https://explabs.gitlab.io/
86,Feinmechanik-DE,IndustrialTech,3D моделирование|Аддитивные технологии,Проектирование|Мелкосерийное производство,0,https://www.fm-de.ru/
87,АБ Универсал,IndustrialTech,Аддитивные технологии,Мелкосерийное производство,0,http://abuniversal.ru/
88,СтанкоСаратов,IndustrialTech,3D моделирование|Аддитивные технологии,Проектирование|Прототипирование|Мелкосерийное производство,0,https://stankosaratov.com/
89,ART UP studio,IndustrialTech,3D моделирование|Аддитивные технологии,Проектирование|Прототипирование|Мелкосерийное производство,0,https://art-up.ru/
90,Can Touch,IndustrialTech,3D моделирование|Аддитивные технологии,Проектирование|Прототипирование|Мелкосерийное производство,0,https://can-touch.ru/
91,ComplexCAD,IndustrialTech,3D моделирование,Проектирование,0,https://complexcad.ru/
92,Метаклэй исследования и разработки,IndustrialTech,Новые материалы,Проведение исследований / испытаний ,0,https://test-polymer.ru 
