,name,nalog_id,project_name,service,is_funded,msp,msk_inno,skolk_inno,nav_stat,inno_comp,start_up,B2B2C,B2G,B2C,B2B,NoneType,P2P,Энергетика,Спорт,HealthTech,Безопасность,Медиа и коммуникации,Недвижимость и строительство,Консалтинг,"ИТ, разработка ПО",Услуги для населения,HRTech,Промышленность и Индустрия 4.0,Космос,EdTech,Транспорт и логистика,Мода,Игры,Экология,FoodTech,Телекоммуникации,Развлечения,BioTech,Туризм,Маркетинг и реклама,FinTech,RetailTech и E-commerce,Страхование,Transport & Logistics,E-commerce,Consumer Goods & Services,SportTech,Business Software,SafetyTech,Travel,SpaceTech,RetailTech,LegalTech,FashionTech,IndustrialTech,Advertising & Marketing,Gaming,CleanTech,Healthcare,Entertainment,InsuranceTech,AgroTech,PropTech,Telecom,Мedia & Communication,Cybersecurity,Нейротехнологии,Беспилотники,Блокчейн,Компьютерное зрение,AR/VR,Зеленые технологии,Биометрия,3D моделирование,Новые и портативные источники энергии,Аддитивные технологии,Нанотехнологии,Биотехнологии,Искусственный интеллект и машинное обучение,Новые материалы,Робототехника,Интернет вещей,ЮЛ Малое,ЮЛ Среднее,ИП Микро,ИП Малое,ЮЛ Микро,"Технопарк ""Строгино""","Технопарк ""Физтехпарк""","Технопарк ""ИТЭЛМА""","Технопарк ""Курчатовский институт""","Технопарк ""Центр хайтек инноваций ""РИКОР""","Технопарк ""Нагатино""","Технопарк ""Радиофизика""","Технопарк ""Связь инжиниринг""","Технопарк ""Фотоника""","Технопарк ""Мосгормаш""","Технопарк ""Отрадное""","Технопарк ""НИИ Точных приборов""","Технопарк ""Водный стадион""","Технопарк ""ЦНИИТМАШ""","Технопарк ""МЗТА""","Технопарк ""Научный парк МГУ""","Технополис ""Москва""","Технопарк ""Сколково""","Технопарк ""НИИССУ""","Технопарк ""ВТИ""","Технопарк ""ЭЛМА""","Технопарк ""Полюс""","Технопарк ""Сапфир""","Технопарк ""Слава""",Наименование стартапа,ИНН,Стадия стартапа,Сфера стартапа,Технология,Пользователь,Частный фонд,"Частный фонд_сумма, долл",Государственный фонд,"Государственный фонд_сумма, долл",Акселератор,"Акселератор_сумма, долл",Корпоративный инвестор,"Корпоративный инвестор_сумма, долл",Корпоративный фонд,"Корпоративный фонд_сумма, долл"
10,"ООО ""АВАНТ - СПЭЙС СИСТЕМС""",7731327808,Московский акселератор,Московский акселератор,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Avant Space
грант, не венчур",7731327808,Посевная,Advertising&Marketing,,B2B,None,0,Фонд содействия инновациям,0,None,0,None,0,None,0
11,Терентьев Михаил Сергеевич,290221367666,Московский акселератор,Московский акселератор,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Letteros,290221367666,Раннийрост,LegalTech,,B2B,None,0,None,0,None,0,Mindbox,472945.4910052524,None,0
12,"ООО ""ИНФОБОТ""",0276926222,Московский акселератор,Московский акселератор,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Инфобот — сервис автоматических звонков,0276926222,н.д.,BusinessSoftware,Искусственный интеллект и машинное обучение,B2B,ФРИИ,44249.3,None,0,None,0,None,0,None,0
13,"ООО ""КАППАСИТИ РУС""",7702437500,Московский акселератор,Московский акселератор,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cappasity,7702437500,Посевная,RetailTech,"3D моделирование, AR/VR",B2B,Cabra VC,325000,None,0,None,0,None,0,None,0
14,"ООО ""ЛАБОРАТОРИЯ 365""",7017395286,Московский акселератор,Московский акселератор,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lab365,7017395286,н.д.,nan,,B2B,None,0,None,0,None,0,None,0,None,0
15,"ООО ""ЭНКОСТ""",7710944648,Московский акселератор,Московский акселератор,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Энкост,7710944648,Раннийрост,CleanTech,BigData,B2B,None,0,None,0,ФРИИ,44249,None,0,None,0
16,"ООО ""ВОПЛОЩЕНИЕ""",1650350558,Московский акселератор,Московский акселератор,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Воплощение,1650350558,Посевная,IndustrialTech,3D моделирование,B2B,None,0,None,0,Pulsar Venture Capital,40126.53233195343,None,0,None,0
17,"ООО ""ВЕСА СИСТЕМ""",1650390180,Московский акселератор,Московский акселератор,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VESA,1650390180,Посевная,Transport&Logistics,,B2B,None,0,None,0,Pulsar Venture Capital,40126.53233195343,None,0,None,0
18,ООО «Мой Самокат»,9725029780,Московский акселератор,Московский акселератор,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Мой девайс,9725029780,Раннийрост,ConsumerGoods&Services,,B2C,Kontinuum Group,332500,None,0,None,0,None,0,None,0
19,ООО «Логософт»,5009112893,Московский акселератор,Московский акселератор,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vezubr ,5009112893,Раннийрост,Transport&Logistics,,B2B,None,0,None,0,None,0,None,0,None,0
20,ООО «Карготех»,7726439104,Московский акселератор,Московский акселератор,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CargoTech,7726439104,Посевная,Transport&Logistics,Искусственный интеллект и машинное обучение,B2B,None,0,None,0,ФРИИ,37962,None,0,None,0
21,MALIVAR,6633027184,Московский акселератор,добавлено - Московский акселератор,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malivar,6633027184,Посевная,IndustrialTech,"Нейротехнологии, искусственный интеллект и машинное обучение, компьютерное зрение",B2B,None,0,None,0,None,0,Сбербанк,140281.3763847525,None,0
22,Yoloco,7720486764,Московский акселератор,добавлено - Московский акселератор,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yoloco,7720486764,Раннийрост,Advertising&Marketing,Искусственный интеллект и машинное обучение,B2B,DV Capital,н.д.,None,0,None,0,None,0,None,0
23,"ООО ""РАДУГА""",7714762021,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Skyeer,7714762021,Раннийрост,PropTech,"Беспилотники, BigData",B2B,New Industry Ventures,н.д,None,0,None,0,None,0,None,0
24,"ООО ""МУЛЬТИКУБИК""",7743945510,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Сinemood,7743945510,Расширение,Entertainment,,B2C,None,0,None,0,None,0,None,0,GamesBoost42,5000000
25,"ООО ""Вэйрэй""",7718936720,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WayRay,7718936720,Расширение,Transport&Logistics,"AR/VR, BigData",B2B,None,0,None,0,None,0,АФК Система,9000000,None,0
26,"ООО ""СПУТНИКС""",5003096726,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Спутникс,5003096726,Раннийрост,SpaceTech,,"B2B,B2G",None,0,None,0,None,0,Sitronics Group,н.д.,None,0
27,"ООО ""АЛЬТ""",7731326297,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Antilatency Это грант,7731326297,Раннийрост,Entertainment,AR/VR,B2B,None,0,Сколково,1024347.0214549483,None,0,None,0,None,0
28,"ООО ""ИКС""",7811620914,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ФИКСАР,7811620914,Раннийрост,Transport&Logistics,,B2B,None,0,None,0,None,0,None,0,None,0
29,"ООО ""ИНТЕЛЛОДЖИК""",7736245612,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Botkin.AI,7736245612,Расширение,Healthcare,Искусственный интеллект и машинное обучение,"B2B,B2G","RBV Capital; Primer Capital; Expo Capital, Unicorn Capital Partners",1296311.0498364083,None,0,None,0,None,0,"Digital Evolution Ventures, Ташир Медика",864207.3665576056
30,"ООО ""УМНЫЙ КОШЕЛЕК""",9710017196,Карта инновационных решений,добавлено - Карта инновационных решений,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swip ,9710017196,Раннийрост,FinTech,Биометрия,B2B2C,None,0,None,0,None,0,МТС,2000000,None,0
31,"ООО ""НТЕХ ЛАБ""",7710499161,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NtechLab,7710499161,Расширение,SafetyTech,"Искусственный интеллект и машинное обучение, Компьютерное зрение","B2B,B2G",None,0,"РФПИ, фонды Ближнего Востока",13216656.688090868,None,0,None,0,None,0
32,"ООО ""Городские теплицы Москва""",9731019765,Карта инновационных решений,добавлено - Карта инновационных решений,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,iFarm,9731019765,Раннийрост,AgroTech,Интернет вещей,"B2B,B2C","Gagarin Capital, Impulse VC, IMI.VC, Matrix Capital",2666666.6666666665,None,0,None,0,None,0,None,0
33,"АО ""СМАРТ ЛАЙН ИНК""",7708214098,Карта инновационных решений,добавлено - Карта инновационных решений,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeviceLock,7708214098,Расширение,Cybersecurity,,"B2B,B2G",None,0,None,0,None,0,Аcronis,н.д.,None,0
34,"ООО ""Суприммоторс""",7702421612,Карта инновационных решений,добавлено - Карта инновационных решений,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnaWhee Приз в конкурсе,7702421612,Посевная,Healthcare,,B2B,ФРИИ,350000,None,0,None,0,None,0,None,0
